推力,,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,,主频1,主频2,主频3,,加速度计：,方差1,方差2,方差3,,主频1,主频2,主频3,
0.05,,,,,,,,,,,,,,,,,,,,,,,
5.0999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
5.1999999999999998E-2,,221,265,307,184,,8.6,9,6.3,,50,60,83,,,7.1,6.5,9,,49,58,83,
5.2999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
5.3999999999999999E-2,,205,266,326,199,,2.2000000000000002,9,3.3,,56,71,86,,,1.8,9,8.1999999999999993,,56,69,86,
5.5E-2,,,,,,,,,,,,,,,,,,,,,,,
5.6000000000000001E-2,,217,263,323,215,,0.9,3,0.4,,59,70,85,,,0.9,8.1,0.4,,59,70,85,
5.7000000000000002E-2,,,,,,,,,,,,,,,,,,,,,,,
5.8000000000000003E-2,,233,274,319,211,,2.2999999999999998,6.2,3.5,,49,80,86,,,2,9,3.7,,49,80,86,
5.8999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
0.06,,239,287,324,207,,5.5,9,0.8,,56,79,84,,,2.4,4,1.5,,57,78,84,
6.0999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
6.2E-2,,271,321,291,193,,1.8,9,,,58,81,,,,1.1000000000000001,9,,,58,81,,
6.3E-2,,,,,,,,,,,,,,,,,,,,,,,
6.4000000000000001E-2,,227,271,351,247,,2.4,9,,,60,82,,,,2.2999999999999998,9,,,60,81,,
6.5000000000000002E-2,,,,,,,,,,,,,,,,,,,,,,,
6.6000000000000003E-2,,257,283,334,244,,6,9,2.7,,66,74,87,,,7.2,7.6,3.1,,66,74,87,
6.7000000000000004E-2,,,,,,,,,,,,,,,,,,,,,,,
6.8000000000000005E-2,,270,309,329,230,,1.7,9,,,63,84,,,,9,9,,,62,84,,
6.9000000000000006E-2,,,,,,,,,,,,,,,,,,,,,,,
7.0000000000000007E-2,,260,307,348,243,,1.7,9,,,64,85,,,,1.7,9,,,64,85,,
7.0999999999999994E-2,,,,,,,,,,,,,,,,,,,,,,,
7.1999999999999995E-2,,287,318,331,243,,1.5,3.3,2.2999999999999998,,66,76,87,,,2.2999999999999998,9,4.5999999999999996,,65,75,86,
7.2999999999999995E-2,,,,,,,,,,,,,,,,,,,,,,,
7.3999999999999996E-2,,292,318,334,255,,8.8000000000000007,9,,,67,88,,,,9,9,,,67,87,,
7.4999999999999997E-2,,,,,,,,,,,,,,,,,,,,,,,
7.5999999999999998E-2,,293,321,343,261,,1.9,9,,,68,89,,,,2,9,,,68,87,,
7.6999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
7.8E-2,,299,330,350,259,,3.2,9,,,70,90,,,,9,9,,,70,90,,
7.9000000000000001E-2,,,,,,,,,,,,,,,,,,,,,,,
0.08,,294,325,363,274,,9,3.3,1.4,,74,84,93,,,9,1.2,9,,73,93,99,
8.1000000000000003E-2,,,,,,,,,,,,,,,,,,,,,,,
8.2000000000000003E-2,,311,313,361,291,,9,3.2,7.7,,79,95,100,,,9,3.2,9,,88,95,100,
8.3000000000000004E-2,,,,,,,,,,,,,,,,,,,,,,,
8.4000000000000005E-2,,316,313,369,298,,2.4,3.1,3.5,,79,84,96,,,9,3.3,,,82,96,,
8.5000000000000006E-2,,,,,,,,,,,,,,,,,,,,,,,
8.5999999999999993E-2,,330,318,364,304,,9,1.9,3.1,,82,88,95,,,9,2.7,,,88,95,,
8.6999999999999994E-2,,,,,,,,,,,,,,,,,,,,,,,
8.7999999999999995E-2,,335,319,373,311,,2.6,2,1.6,,83,89,97,,,9,1.5,,,89,97,,
8.8999999999999996E-2,,,,,,,,,,,,,,,,,,,,,,,
0.09,,318,350,382,304,,9,0.4,1.1000000000000001,,81,90,97,,,1.5,1,,,91,97,,
9.0999999999999998E-2,,,,,,,,,,,,,,,,,,,,,,,
9.1999999999999998E-2,,337,335,386,317,,1.5,1.3,2,,84,89,100,,,1.6,1.3,2,,84,89,100,
9.2999999999999999E-2,,,,,,,,,,,,,,,,,,,,,,,
9.4E-2,,345,337,388,324,,6,9,2,,86,91,100,,,9,3.4,3.4,,90,95,100,
9.5000000000000001E-2,,,,,,,,,,,,,,,,,,,,,,,
9.6000000000000002E-2,,351,343,390,330,,0.2,1.9,0.3,,87,91,101,,,9,2.2999999999999998,,,91,101,,
9.7000000000000003E-2,,,,,,,,,,,,,,,,,,,,,,,
9.8000000000000004E-2,,361,345,391,336,,9,1.5,2.2999999999999998,,89,94,101,,,9,2.2999999999999998,9,,90,95,101,
9.9000000000000005E-2,,,,,,,,,,,,,,,,,,,,,,,
0.1,,364,341,374,374,,1.1000000000000001,4.2,5,,94,103,109,,,2,2.4,1.1000000000000001,,94,101,104,
0.10100000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.10199999999999999,,365,355,404,349,,7.3,2.7,,,91,103,,,,9,1.9,,,92,103,,
0.10299999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.104,,375,360,404,353,,1.7,1,0.6,,91,96,103,,,2.2000000000000002,1.3,0.6,,91,96,103,
0.105,,,,,,,,,,,,,,,,,,,,,,,
0.106,,379,362,409,362,,3,2.2000000000000002,2,,92,97,103,,,4.0999999999999996,3.5,2,,92,97,103,
0.107,,,,,,,,,,,,,,,,,,,,,,,
0.108,,376,367,425,363,,5,1.4,,,94,107,,,,7.8,0.9,1.4,,94,102,107,
0.109,,,,,,,,,,,,,,,,,,,,,,,
0.11,,391,365,396,398,,6,4.4000000000000004,,,101,108,,,,9,3,,,101,108,,
0.111,,,,,,,,,,,,,,,,,,,,,,,
0.112,,391,379,413,386,,5.3,3.1,,,99,104,,,,3.8,4.2,,,99,104,,
0.113,,,,,,,,,,,,,,,,,,,,,,,
0.114,,399,385,415,389,,3.5,0.8,,,99,105,,,,1.8,0.3,0.6,,99,102,105,
0.115,,,,,,,,,,,,,,,,,,,,,,,
0.11600000000000001,,402,385,422,399,,4.8,1.1000000000000001,,,101,107,,,,5.8,1.3,,,101,107,,
0.11700000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.11799999999999999,,405,393,427,402,,5.3,3.5,,,102,108,,,,5.6,3.2,,,102,108,,
0.11899999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.12,,417,394,419,416,,5.6,,,,110,,,,,5.0999999999999996,,,,110,,,
0.121,,,,,,,,,,,,,,,,,,,,,,,
0.122,,416,401,435,412,,5.2,4.7,,,104,109,,,,5,4.5,,,104,109,,
0.123,,,,,,,,,,,,,,,,,,,,,,,
0.124,,421,399,442,422,,8.6999999999999993,5.4,1.7,,101,106,110,,,9,5.9,3.5,,101,106,110,
0.125,,,,,,,,,,,,,,,,,,,,,,,
0.126,,423,405,448,427,,8.6999999999999993,9,,,102,108,,,,9,9,,,102,108,,
0.127,,,,,,,,,,,,,,,,,,,,,,,
0.128,,426,415,452,429,,9,,,,108,,,,,9,0.3,,,107,110,,
0.129,,,,,,,,,,,,,,,,,,,,,,,
0.13,,439,412,442,447,,3.4,1.5,,,103,111,,,,3.8,,,,104,,,
0.13100000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.13200000000000001,,437,414,461,447,,2.9,5.2,1.4,,98,101,109,,,6.7,6.4,9,,99,102,109,
0.13300000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.13400000000000001,,442,414,463,459,,4.2,1.5,,,99,110,,,,4.5999999999999996,4.5999999999999996,,,99,110,,
0.13500000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.13600000000000001,,447,416,470,464,,4.4000000000000004,3.7,,,98,110,,,,9,9,,,98,110,,
0.13700000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.13800000000000001,,448,423,480,464,,1.1000000000000001,9,0.3,,94,98,108,,,1.1000000000000001,8,0.3,,94,99,108,
0.13900000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.14000000000000001,,461,438,465,470,,1.8,8.6,,,99,104,,,,2.8,,,,99,,,
0.14099999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.14199999999999999,,461,449,485,457,,6.3,6.1,,,94,101,,,,4.2,9,,,94,101,,
0.14299999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.14399999999999999,,463,449,495,465,,6.8,9,,,92,100,,,,6.4,9,,,92,99,,
0.14499999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.14599999999999999,,465,446,501,478,,1.4,3.3,0.7,,91,97,104,,,1.4,7.4,9,,91,97,104,
0.14699999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.14799999999999999,,457,438,514,500,,5.9,8.5,2.7,,90,102,107,,,5.2,9,,,90,103,,
0.14899999999999999,,,,,,,,,,,,,,,,,,,,,,,
0.15,,483,457,491,497,,6.3,5.7,,,93,101,,,,4.9000000000000004,9,,,94,102,,
0.151,,,,,,,,,,,,,,,,,,,,,,,
0.152,,484,466,509,487,,1.1000000000000001,0.7,0.9,,91,96,101,,,1.1000000000000001,1.2,9,,91,96,101,
0.153,,,,,,,,,,,,,,,,,,,,,,,
0.154,,490,467,513,494,,1.6,1.5,1.7,,91,96,101,,,1.3,2.2000000000000002,9,,91,96,101,
0.155,,,,,,,,,,,,,,,,,,,,,,,
0.156,,495,475,518,493,,1.9,7.8,,,90,97,,,,1.4,9,,,90,97,,
0.157,,,,,,,,,,,,,,,,,,,,,,,
0.158,,497,480,528,497,,4.7,7.1,,,88,96,,,,3.6,9,,,88,96,,
0.159,,,,,,,,,,,,,,,,,,,,,,,
0.16,,498,475,523,522,,2.1,0.2,8.8000000000000007,,87,93,97,,,0.9,9,,,87,93,,
0.161,,,,,,,,,,,,,,,,,,,,,,,
0.16200000000000001,,500,495,540,501,,3.8,2.6,,,87,96,,,,2.7,9,,,87,96,,
0.16300000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.16400000000000001,,499,490,551,515,,1.7,1.6,8.9,,84,92,96,,,1.7,3.7,9,,84,92,97,
0.16500000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.16600000000000001,,499,488,559,526,,1.9,3.6,8.6,,83,90,97,,,1.9,5.2,9,,83,90,97,
0.16700000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.16800000000000001,,504,498,564,525,,8.6999999999999993,8.1999999999999993,9,,83,91,94,,,9,1.9,9,,83,91,95,
0.16900000000000001,,,,,,,,,,,,,,,,,,,,,,,
0.17,,518,493,548,551,,4,4.2,9,,82,90,95,,,4.8,9,9,,82,89,96,
0.17100000000000001,,522,504,559,534,,2.9,2.1,1.3,,87,93,99,,,1.8,5.2,9,,87,93,99,
0.17199999999999999,,533,505,555,536,,1.1000000000000001,0.4,1.3,,89,93,99,,,0.4,7.7,9,,88,92,99,
0.17299999999999999,,538,515,556,529,,1.5,5.5,,,89,95,,,,7.5,6.7,,,90,95,,
0.17399999999999999,,530,516,568,532,,0.7,3.1,,,86,94,,,,0.6,9,,,86,95,,
0.17499999999999999,,528,519,574,534,,1.2,6.5,,,85,94,,,,0.9,9,,,85,95,,
0.17599999999999999,,533,519,575,537,,1.7,6.7,,,85,94,,,,1.7,9,,,85,95,,
0.17699999999999999,,527,515,583,548,,6.7,3.1,8.8000000000000007,,84,92,97,,,5.2,9,9,,84,93,99,
0.17799999999999999,,526,520,587,548,,6,1,3.2,,84,92,96,,,9,1.1000000000000001,9,,84,93,96,
0.17899999999999999,,532,532,576,551,,2.2000000000000002,2,2.8,,74,79,84,,,4.7,4.5999999999999996,9,,75,79,84,
0.18,,543,531,569,557,,7.7,3.7,,,82,87,,,,9,9,,,82,87,,
0.18099999999999999,,543,534,577,556,,3.4,9,,,74,80,,,,4,9,,,74,80,,
0.182,,543,542,584,549,,3.4,2.2000000000000002,,,73,82,,,,5.7,4.2,,,74,82,,
0.183,,539,545,591,552,,1.8,5.0999999999999996,,,73,82,,,,2.4,9,,,73,83,,
0.184,,543,551,590,552,,1.6,3.1,,,74,83,,,,2.2000000000000002,3.8,9,,74,83,89,
0.185,,534,534,607,570,,7.7,9,9,,70,78,87,,,9,9,9,,71,78,88,
0.186,,526,532,619,576,,2.9,6.2,4.5999999999999996,,69,77,88,,,3.9,6.1,9,,69,78,89,
0.187,,531,540,619,573,,7,4.9000000000000004,9,,69,79,87,,,9,5.8,9,,70,79,88,
0.188,,556,545,596,576,,1.5,1.1000000000000001,6.5,,74,79,84,,,2.4,1.1000000000000001,9,,74,79,83,
0.189,,561,550,595,576,,2.7,0.6,3.8,,75,79,84,,,2.5,5.6,9,,76,79,83,
0.19,,566,551,590,582,,7,1.1000000000000001,,,79,85,,,,8.8000000000000007,9,,,79,85,,
0.191,,564,556,598,581,,9,7.6,,,77,83,,,,9,9,,,77,83,,
0.192,,563,547,607,590,,9,9,,,76,85,,,,9,9,,,75,84,,
0.193,,565,560,606,586,,9,2.7,3.9,,76,79,84,,,9,2.5,9,,76,79,83,
0.19400000000000001,,565,559,611,591,,9,0.8,9,,76,80,84,,,9,0.9,9,,76,80,84,
0.19500000000000001,,557,551,629,597,,4.5999999999999996,8.3000000000000007,8.1999999999999993,,71,78,86,,,9,9,9,,72,78,87,
0.19600000000000001,,556,550,629,608,,9,9,,,74,86,,,,9,9,,,75,87,,
0.19700000000000001,,573,565,625,589,,3.6,9,,,69,77,,,,2.4,9,,,69,77,,
0.19800000000000001,,571,560,630,600,,4.5,2.5,9,,69,74,81,,,4.0999999999999996,3.5,9,,69,74,81,
0.19900000000000001,,578,566,629,597,,4.2,4,8,,68,76,81,,,3,5.2,9,,68,76,80,
0.2,,593,582,606,598,,5.5,,,,76,,,,,9,,,,76,,,
0.20100000000000001,,581,575,632,599,,4.5,1.8,8.6999999999999993,,68,76,80,,,3.8,1.3,9,,68,76,80,
0.20200000000000001,,581,583,634,598,,7.2,8.9,,,69,78,,,,8.1999999999999993,9,,,69,78,,
0.20300000000000001,,580,577,645,603,,5,9,,,67,78,,,,4.7,9,,,67,78,,
0.20399999999999999,,580,573,647,614,,3.7,9,6.3,,67,72,83,,,9,9,9,,68,73,82,
0.20499999999999999,,575,572,656,619,,7.4,1.5,2.9,,66,74,83,,,5.5,8,9,,66,74,82,
0.20599999999999999,,595,583,643,610,,1.4,1.1000000000000001,8.3000000000000007,,70,76,79,,,1.2,1,9,,70,76,80,
0.20699999999999999,,602,583,641,614,,1.8,6.3,1.7,,71,76,82,,,2.2000000000000002,2,9,,71,76,79,
0.20799999999999999,,602,592,646,609,,4.0999999999999996,5.8,,,70,78,,,,5.6,9,,,70,78,,
0.20899999999999999,,603,596,650,609,,1.9,2.8,,,69,78,,,,1.9,4.2,,,69,78,,
0.21,,613,595,630,629,,2.5,0.8,2.8,,70,74,78,,,2.6,6.3,9,,70,74,79,
0.21099999999999999,,598,596,666,615,,4.3,2.8,2.9,,67,76,81,,,6,3.5,9,,67,76,81,
0.21199999999999999,,589,587,675,633,,9,3.3,6.7,,65,72,84,,,4,9,6,,64,72,84,
0.21299999999999999,,596,581,675,640,,3.7,4.5999999999999996,9,,66,72,83,,,9,5.9,9,,67,72,82,
0.214,,594,586,682,639,,6.5,1.8,5.6,,65,73,83,,,7.1,3.5,9,,65,73,82,
0.215,,613,599,664,634,,6.5,2.2999999999999998,8.9,,69,74,79,,,4,9,9,,69,73,79,
0.216,,616,599,664,639,,1.2,1.9,9,,69,74,80,,,1.4,2.5,9,,69,74,79,
0.217,,618,604,670,636,,1.5,0.4,8.6999999999999993,,69,75,80,,,1,0.4,9,,69,75,80,
0.218,,621,616,670,630,,1.2,5.8,,,70,78,,,,1.3,8.5,,,70,78,,
0.219,,613,612,677,643,,9,8,8.6999999999999993,,71,76,82,,,9,5.6,9,,71,76,82,
0.22,,623,613,665,653,,9,2.5,,,67,72,,,,9,9,,,67,72,,
0.221,,611,603,693,655,,6.5,5,4.7,,69,75,85,,,6.7,9,9,,68,76,85,
0.222,,616,606,698,651,,3,3.7,3.8,,70,78,86,,,3.4,3,9,,70,78,86,
0.223,,614,604,705,657,,67,9,9,,72,80,90,,,8.6,9,9,,73,82,92,
0.224,,632,623,677,657,,9,9,,,55,62,,,,9,9,,,56,63,,
0.22500000000000001,,633,621,679,665,,7,4.3,,,55,64,,,,7.3,9,,,55,64,,
0.22600000000000001,,628,627,688,662,,2.9,3.7,2.8,,52,58,65,,,1.3,2,9,,53,58,66,
0.22700000000000001,,622,626,700,667,,9,8.1,8,,52,60,67,,,9,7.4,9,,53,60,67,
0.22800000000000001,,610,612,712,689,,2.5,1.6,2.4,,50,55,71,,,9,9,1.5,,51,55,71,
0.22900000000000001,,619,619,712,682,,9,4.0999999999999996,2.8,,49,58,70,,,9,9,7.9,,50,58,71,
0.23,,633,630,700,678,,9,7,,,60,73,,,,9,5.6,,,60,73,,
0.23100000000000001,,623,623,712,692,,9,2.7,,,54,70,,,,9,2.1,,,54,70,,
0.23200000000000001,,631,639,711,677,,8.8000000000000007,7.3,4.8,,51,60,70,,,9,9,9,,51,59,70,
